Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,68.25,106.75,,47.85,,3.38,12.35,,,0.05,,,,88.0,0.52,,,,
2025-01-01 01:00:00,87.25,129.0,,47.53,,3.1,10.67,,,0.02,,,,89.75,0.48,,,,
2025-01-01 02:00:00,86.0,112.75,,47.3,,3.45,12.9,,,0.1,,,,91.0,0.43,,,,
2025-01-01 03:00:00,80.0,100.0,,47.07,,3.77,11.47,,,0.07,,,,91.33,0.3,,,,
2025-01-01 04:00:00,63.25,85.5,,47.07,,3.73,13.9,,6.32,0.08,,,,92.0,0.35,,,,
2025-01-01 05:00:00,61.5,77.5,,46.15,,3.7,12.83,,5.78,0.02,,,,92.25,0.35,,,,
2025-01-01 06:00:00,53.25,75.5,,46.2,,4.02,13.1,,5.49,0.02,,,,93.0,0.38,,,,
2025-01-01 07:00:00,50.25,75.25,,47.5,,3.9,12.4,,6.22,0.05,,,,92.75,0.4,,,,
2025-01-01 08:00:00,51.0,83.25,,48.18,,3.92,12.18,,5.0,0.1,,,,86.25,0.57,,,,
2025-01-01 09:00:00,54.25,92.0,,48.88,,4.05,11.33,,5.54,0.08,,,,73.25,0.75,,,,
2025-01-01 10:00:00,36.0,82.25,,49.15,,3.5,11.4,,4.95,0.1,,,,65.75,0.8,,,,
2025-01-01 11:00:00,36.0,90.0,,48.95,,3.47,9.7,,6.32,0.08,,,,59.25,0.75,,,,
2025-01-01 12:00:00,44.0,89.75,,49.58,,3.22,11.55,,5.83,0.1,,,,50.5,0.75,,,,
2025-01-01 13:00:00,40.75,81.75,,49.5,,2.8,10.23,,5.93,0.08,,,,48.75,0.77,,,,
2025-01-01 14:00:00,38.5,85.0,,49.32,,2.9,12.4,,6.66,0.1,,,,46.5,0.7,,,,
2025-01-01 15:00:00,34.75,77.75,,50.15,,2.45,10.73,,7.54,0.1,,,,53.75,0.65,,,,
2025-01-01 16:00:00,38.75,77.25,,51.02,,2.47,10.88,,6.86,0.1,,,,63.75,0.65,,,,
2025-01-01 17:00:00,45.5,89.25,,52.58,,2.52,9.87,,5.98,0.1,,,,68.5,0.57,,,,
2025-01-01 18:00:00,52.0,102.25,,54.18,,2.42,9.75,,6.42,0.1,,,,73.25,0.43,,,,
2025-01-01 19:00:00,62.0,125.75,,55.35,,1.4,8.3,,6.66,0.08,,,,77.0,0.4,,,,
2025-01-01 20:00:00,72.0,137.0,,54.85,,0.92,9.9,,6.47,0.1,,,,80.0,0.48,,,,
2025-01-01 21:00:00,67.5,126.25,,53.72,,1.7,11.53,,7.06,0.1,,,,82.0,0.5,,,,
2025-01-01 22:00:00,72.75,121.0,,52.38,,1.88,15.98,,6.32,0.08,,,,84.75,0.42,,,,
2025-01-01 23:00:00,78.25,121.75,,52.15,,1.9,15.03,,4.85,0.1,,,,86.5,0.43,,,,
2025-01-02 00:00:00,90.5,123.0,,51.2,,2.25,14.0,,5.2,0.1,,,,88.5,0.32,,,,
2025-01-02 01:00:00,97.75,120.0,,49.95,,2.6,11.43,,6.66,0.1,,,,90.0,0.38,,,,
2025-01-02 02:00:00,91.75,116.5,,48.88,,2.7,14.5,,6.21,0.1,,,,90.25,0.43,,,,
2025-01-02 03:00:00,75.5,102.75,,48.55,,2.75,13.2,,,0.1,,,,91.0,0.38,,,,
2025-01-02 04:00:00,71.5,93.0,,48.43,,3.0,15.2,,,0.1,,,,91.0,0.4,,,,
2025-01-02 05:00:00,63.5,93.75,,48.9,,2.85,14.23,,,0.1,,,,91.0,0.43,,,,
2025-01-02 06:00:00,61.75,97.0,,49.4,,3.1,14.0,,,0.1,,,,92.0,0.43,,,,
2025-01-02 07:00:00,63.5,104.25,,52.0,,2.9,14.03,,,0.1,,,,91.25,0.4,,,,
2025-01-02 08:00:00,72.0,118.0,,53.3,,3.12,13.68,,,0.1,,,,84.5,0.62,,,,
2025-01-02 09:00:00,70.75,117.25,,54.72,,2.85,11.63,,,0.1,,,,72.0,0.65,,,,
2025-01-02 10:00:00,57.0,107.25,,54.55,,2.5,12.23,,,0.1,,,,67.25,0.65,,,,
2025-01-02 11:00:00,51.75,105.75,,54.65,,3.0,11.07,,,0.1,,,,60.75,0.7,,,,
2025-01-02 12:00:00,44.0,90.75,,53.42,,3.0,13.88,,,0.1,,,,50.0,0.73,,,,
2025-01-02 13:00:00,39.75,91.5,,53.5,,2.82,13.37,,,0.1,,,,48.0,0.7,,,,
2025-01-02 14:00:00,36.25,85.75,,53.6,,2.4,12.82,,,0.1,,,,47.25,0.7,,,,
2025-01-02 15:00:00,36.75,92.25,,53.45,,2.28,10.5,,,0.1,,,,53.75,0.62,,,,
2025-01-02 16:00:00,38.0,116.25,,54.7,,2.17,12.7,,,0.1,,,,63.5,0.55,,,,
