Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,61.0,106.5,0.2,9.6,5.28,6.4,14.0,0.52,39.93,0.1,4.05,,,80.25,,209.5,,717.0,
2025-01-01 01:00:00,78.0,121.75,0.25,9.43,5.22,6.95,13.18,0.57,39.24,0.1,4.38,,,83.0,,211.5,,716.75,
2025-01-01 02:00:00,75.25,114.75,0.3,8.12,4.55,6.72,13.2,0.38,42.54,0.1,4.62,,,83.75,,192.25,,716.0,
2025-01-01 03:00:00,64.0,97.75,0.12,6.78,3.7,5.98,12.0,0.36,40.55,0.1,4.7,,,83.25,,194.25,,715.5,
2025-01-01 04:00:00,55.0,76.0,0.32,7.0,4.0,4.95,5.13,0.36,38.79,0.1,4.58,,,84.0,,215.25,,715.25,
2025-01-01 05:00:00,50.0,78.0,0.5,7.27,4.27,4.83,3.7,0.4,31.43,0.1,4.4,,,85.0,,195.0,,716.0,
2025-01-01 06:00:00,52.0,84.25,0.5,10.8,6.2,4.8,4.62,0.44,22.8,0.1,4.38,,,86.0,,183.75,,716.25,
2025-01-01 07:00:00,56.75,84.75,0.65,10.6,6.18,4.5,3.27,0.52,31.38,0.1,4.38,,,84.0,,195.75,,717.0,
2025-01-01 08:00:00,53.0,83.0,0.98,10.02,6.15,4.5,12.5,0.5,41.52,0.1,4.6,,,70.0,,202.0,,717.25,
2025-01-01 09:00:00,31.0,77.0,0.78,8.72,5.28,4.02,14.62,0.42,52.75,0.1,4.68,,,57.5,,188.5,,718.0,
2025-01-01 10:00:00,30.25,69.0,0.78,7.57,4.65,4.0,13.0,0.34,56.75,0.1,4.43,,,51.75,,200.25,,718.0,
2025-01-01 11:00:00,29.5,71.0,0.52,7.12,4.18,4.2,14.67,0.28,63.35,0.1,4.3,,,46.0,,175.25,,717.25,
2025-01-01 12:00:00,33.75,68.25,0.52,6.12,3.68,3.75,11.38,0.4,64.5,0.1,3.78,,,44.5,,179.5,,716.25,
2025-01-01 13:00:00,35.75,70.0,0.43,6.82,4.0,3.52,10.65,0.45,65.66,0.1,3.32,,,42.25,,192.0,,715.25,
2025-01-01 14:00:00,44.5,74.5,0.35,6.82,3.95,3.48,10.07,0.38,66.03,0.1,3.22,,,40.75,,206.0,,714.0,
2025-01-01 15:00:00,42.25,79.0,0.3,7.38,4.18,3.55,9.17,0.42,65.6,0.1,3.2,,,41.0,,204.5,,713.5,
2025-01-01 16:00:00,33.75,79.0,0.45,8.2,4.72,3.97,12.9,0.46,63.36,0.1,3.5,,,42.5,,202.5,,713.0,
2025-01-01 17:00:00,43.5,81.25,0.18,10.58,5.75,4.4,18.0,0.55,55.23,0.1,3.95,,,48.25,,199.75,,714.0,
2025-01-01 18:00:00,49.25,93.75,0.3,14.8,8.12,5.1,26.55,0.59,40.59,0.1,4.23,,,58.0,,194.0,,714.75,
2025-01-01 19:00:00,53.0,111.5,0.68,17.98,10.12,5.22,28.33,0.68,29.03,0.1,4.47,,,63.25,,190.25,,715.5,
2025-01-01 20:00:00,64.0,112.25,0.57,14.82,8.38,4.95,22.18,0.67,37.08,0.1,4.2,,,66.5,,211.5,,716.25,
2025-01-01 21:00:00,65.25,113.0,0.38,14.02,7.75,5.25,17.15,0.69,33.64,0.1,4.0,,,70.75,,200.0,,717.0,
2025-01-01 22:00:00,69.0,122.5,0.52,14.23,8.0,5.78,18.9,0.67,36.41,0.1,4.07,,,73.75,,211.0,,717.0,
2025-01-01 23:00:00,74.0,122.5,0.4,11.02,6.18,6.55,16.53,0.57,46.82,0.1,4.1,,,78.0,,209.25,,716.75,
2025-01-02 00:00:00,77.0,121.25,0.38,10.58,5.93,7.35,21.92,0.53,42.62,0.1,4.4,,,82.5,,217.25,,716.0,
2025-01-02 01:00:00,86.75,131.5,0.3,9.38,5.22,7.7,23.5,0.5,41.7,0.1,4.7,,,84.75,,215.0,,715.25,
2025-01-02 02:00:00,86.0,127.5,0.32,7.45,4.22,7.12,16.73,0.44,46.69,0.1,4.85,,,85.5,,199.5,,714.75,
2025-01-02 03:00:00,72.0,105.0,0.38,6.85,3.9,6.0,15.9,0.39,46.26,0.1,4.9,,,84.25,,223.5,,714.0,
