Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,71.75,101.0,1.32,3.35,3.9,2.15,6.82,0.32,16.72,0.15,0.55,,,83.0,,166.25,,718.0,
2025-01-01 01:00:00,91.0,117.75,1.05,3.92,3.78,2.08,8.5,0.38,17.62,0.23,0.77,,,85.25,,135.5,,717.75,
2025-01-01 02:00:00,83.0,108.75,1.4,3.35,4.07,2.12,11.23,0.36,16.19,0.32,1.12,,,86.0,,149.25,,717.0,
2025-01-01 03:00:00,65.5,86.75,1.12,3.78,3.9,2.15,13.5,0.31,18.9,0.4,1.4,,,86.0,,157.25,,716.25,
2025-01-01 04:00:00,56.25,68.5,1.55,3.9,4.6,2.0,15.08,0.26,21.24,0.43,1.6,,,86.5,,200.75,,716.0,
2025-01-01 05:00:00,51.25,70.0,0.88,4.22,3.7,2.07,16.0,0.3,18.35,0.5,1.72,,,88.0,,150.5,,716.75,
2025-01-01 06:00:00,51.25,72.25,1.2,3.7,3.92,2.12,16.15,0.37,18.29,0.5,1.75,,,89.0,,192.75,,717.0,
2025-01-01 07:00:00,49.25,79.5,1.42,3.22,4.05,2.12,15.3,0.44,17.36,0.45,1.65,,,88.25,,151.75,,718.0,
2025-01-01 08:00:00,49.75,82.5,0.98,3.15,3.22,2.2,12.3,0.5,17.89,0.38,1.28,,,78.75,,125.0,,718.0,
2025-01-01 09:00:00,48.5,87.25,1.48,3.55,4.25,2.12,12.9,0.4,18.95,0.38,1.32,,,64.5,,147.5,,719.0,
2025-01-01 10:00:00,45.75,87.5,1.4,3.6,4.22,2.1,10.12,0.37,19.08,0.3,0.98,,,52.25,,138.75,,719.0,
2025-01-01 11:00:00,42.5,87.0,1.32,3.82,4.12,2.1,13.88,0.28,17.78,0.43,1.45,,,44.75,,163.0,,718.25,
2025-01-01 12:00:00,43.75,86.25,1.5,3.58,4.32,2.1,15.68,0.43,17.26,0.45,1.67,,,42.25,,151.25,,717.25,
2025-01-01 13:00:00,44.75,77.25,1.2,4.32,4.25,2.02,15.68,0.48,18.67,0.5,1.72,,,40.25,,126.0,,715.75,
2025-01-01 14:00:00,49.0,84.5,1.22,3.92,4.05,2.12,16.52,0.44,17.94,0.5,1.8,,,38.0,,152.75,,715.0,
2025-01-01 15:00:00,46.0,85.25,1.35,3.6,4.12,2.15,15.55,0.44,18.53,0.48,1.7,,,38.25,,161.75,,714.0,
2025-01-01 16:00:00,45.5,85.0,1.18,3.98,4.05,2.12,13.25,0.55,18.06,0.38,1.38,,,40.0,,156.75,,714.0,
2025-01-01 17:00:00,46.75,94.75,1.25,3.6,3.9,2.07,13.38,0.62,17.56,0.38,1.4,,,47.0,,149.0,,714.75,
2025-01-01 18:00:00,55.0,103.25,1.32,3.62,4.05,2.08,12.77,0.18,17.44,0.4,1.3,,,57.25,,159.75,,715.5,
2025-01-01 19:00:00,55.5,97.75,1.27,3.88,4.15,2.15,12.52,0.3,18.1,0.4,1.27,,,62.5,,151.25,,716.25,
2025-01-01 20:00:00,59.75,107.0,1.05,3.55,3.6,2.15,17.0,0.33,17.64,0.5,1.9,,,66.5,,178.0,,717.0,
2025-01-01 21:00:00,68.75,113.0,0.92,3.92,3.58,2.12,16.82,0.43,18.03,0.5,1.85,,,71.5,,189.75,,718.0,
2025-01-01 22:00:00,74.25,122.0,1.1,4.0,3.88,2.05,15.92,0.33,17.55,0.48,1.72,,,75.0,,170.5,,718.0,
2025-01-01 23:00:00,83.0,119.25,1.4,3.65,4.2,2.05,15.38,0.26,18.08,0.48,1.65,,,80.0,,167.75,,717.5,
2025-01-02 00:00:00,81.0,110.25,1.38,3.9,4.32,2.05,13.3,0.29,17.85,0.4,1.4,,,84.0,,134.75,,717.0,
2025-01-02 01:00:00,85.5,108.5,1.45,4.05,4.5,2.02,9.67,0.31,17.0,0.27,0.9,,,86.0,,165.25,,716.25,
2025-01-02 02:00:00,86.0,107.0,1.32,3.3,3.92,2.17,8.82,0.3,17.93,0.2,0.8,,,87.25,,150.75,,715.75,
2025-01-02 03:00:00,72.0,93.5,1.3,3.5,4.02,2.12,9.6,0.27,19.34,0.25,0.9,,,86.25,,150.75,,715.0,
2025-01-02 04:00:00,63.5,80.0,1.38,3.95,4.32,2.05,13.68,0.26,18.21,0.4,1.4,,,86.25,,134.75,,715.0,
2025-01-02 05:00:00,56.5,82.5,1.4,3.9,4.35,2.1,13.05,0.32,18.09,0.4,1.37,,,84.0,,181.0,,715.5,
2025-01-02 06:00:00,60.0,91.75,1.23,3.72,3.95,2.02,12.45,0.33,17.82,0.4,1.25,,,85.25,,185.25,,716.25,
2025-01-02 07:00:00,68.5,111.5,1.08,3.65,3.7,2.12,11.7,0.54,18.09,0.32,1.18,,,84.75,,184.5,,717.0,
2025-01-02 08:00:00,73.5,146.75,1.08,3.58,3.7,2.12,12.6,0.58,18.42,0.4,1.3,,,75.5,,127.75,,717.75,
2025-01-02 09:00:00,64.75,120.0,1.15,3.78,3.9,2.1,11.55,0.53,22.53,0.35,1.18,,,62.75,,124.75,,718.0,
2025-01-02 10:00:00,60.25,119.0,1.27,4.2,4.25,2.07,11.6,0.38,26.21,0.35,1.17,,,55.25,,136.0,,718.0,
2025-01-02 11:00:00,58.25,129.25,1.2,3.68,3.9,2.1,14.73,0.31,26.82,0.4,1.55,,,47.25,,122.75,,717.5,
2025-01-02 12:00:00,58.25,118.75,1.22,3.58,3.92,2.1,14.7,0.38,27.59,0.4,1.55,,,42.5,,126.75,,716.75,
2025-01-02 13:00:00,54.0,121.25,1.3,3.95,4.18,2.12,14.4,0.38,27.37,0.4,1.52,,,40.0,,146.5,,715.5,
2025-01-02 14:00:00,49.5,98.0,1.15,3.98,4.0,2.08,14.12,0.33,27.83,0.4,1.5,,,38.25,,163.75,,715.0,
2025-01-02 15:00:00,52.75,103.0,1.08,3.88,3.8,2.15,10.98,0.35,27.43,0.35,1.08,,,40.25,,136.75,,714.0,
2025-01-02 16:00:00,49.25,95.5,1.3,3.48,3.98,2.12,10.25,0.46,27.65,0.3,0.98,,,39.25,,153.75,,714.25,
2025-01-02 17:00:00,53.0,113.75,1.08,3.68,3.68,2.1,11.65,0.51,28.12,0.32,1.18,,,45.25,,142.5,,715.0,
2025-01-02 18:00:00,62.5,124.5,1.02,3.68,3.62,2.05,11.92,0.49,26.74,0.35,1.2,,,54.25,,157.5,,716.0,
2025-01-02 19:00:00,64.75,114.25,1.1,4.12,3.98,2.1,15.0,0.53,26.92,0.43,1.6,,,61.0,,132.5,,716.75,
2025-01-02 20:00:00,67.0,112.75,1.4,3.58,4.18,2.1,16.1,0.4,27.8,0.48,1.72,,,65.75,,137.0,,717.25,
2025-01-02 21:00:00,67.25,105.25,1.12,3.62,3.75,2.12,16.58,0.38,27.12,0.5,1.8,,,69.5,,114.0,,718.0,
