Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,59.75,131.25,1.18,13.92,8.35,1.82,10.63,0.24,21.89,1.03,2.27,,,64.0,1.08,97.5,,718.5,
2025-01-01 01:00:00,68.5,151.0,1.32,13.82,8.45,1.75,10.42,0.49,21.81,1.0,2.25,,,64.25,1.1,97.5,,718.0,
2025-01-01 02:00:00,70.0,154.0,1.4,13.9,8.6,1.7,9.9,0.51,21.25,1.0,2.1,,,65.0,0.7,119.0,,717.0,
2025-01-01 03:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 04:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 05:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 06:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 07:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 08:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 09:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 10:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 11:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 12:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 13:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 14:00:00,29.0,64.0,1.8,14.2,9.05,1.65,10.7,0.38,20.74,1.05,2.35,,,47.0,1.55,137.5,,714.5,
2025-01-01 15:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 16:00:00,29.25,83.0,1.37,14.3,8.7,1.77,11.07,0.41,20.6,1.1,2.4,,,47.25,1.13,102.67,,714.0,
2025-01-01 17:00:00,33.5,87.0,1.18,14.55,8.7,1.85,10.38,0.51,21.23,1.0,2.25,,,48.75,1.2,104.5,,714.25,
2025-01-01 18:00:00,37.25,101.5,1.25,14.4,8.7,2.02,10.08,0.66,21.23,0.98,2.17,,,51.75,1.05,83.5,,715.25,
2025-01-01 19:00:00,44.0,114.0,1.1,14.78,8.75,2.08,9.78,0.75,21.66,0.95,2.1,,,54.5,1.02,88.0,,716.25,
2025-01-01 20:00:00,44.5,103.25,1.1,14.88,8.8,2.0,9.48,0.8,21.83,0.92,2.05,,,56.25,1.05,95.5,,717.0,
2025-01-01 21:00:00,46.5,108.0,1.48,14.7,9.02,1.85,9.6,0.48,21.83,0.95,2.05,,,57.25,0.88,87.75,,718.0,
2025-01-01 22:00:00,50.5,114.5,1.05,14.82,8.78,1.85,9.88,0.48,21.34,0.95,2.12,,,58.5,0.68,117.75,,718.0,
2025-01-01 23:00:00,60.75,120.75,1.23,14.23,8.55,1.82,10.5,0.37,21.92,1.02,2.28,,,60.5,0.72,98.5,,717.75,
2025-01-02 00:00:00,71.0,110.5,1.27,14.1,8.55,1.75,9.33,0.36,21.93,0.93,2.0,,,62.5,0.75,100.5,,717.0,
2025-01-02 01:00:00,76.5,116.75,1.58,13.98,8.72,1.75,8.9,0.64,19.1,0.88,1.95,,,64.0,0.7,102.75,,716.25,
2025-01-02 02:00:00,73.25,115.25,1.42,13.8,8.48,1.8,9.0,0.63,22.5,0.88,1.98,,,63.75,0.55,133.25,,715.75,
2025-01-02 03:00:00,65.25,113.75,1.12,14.0,8.38,1.78,9.07,0.58,20.39,0.88,1.95,,,63.0,0.82,79.75,,715.0,
2025-01-02 04:00:00,57.0,92.25,1.2,14.1,8.5,1.7,9.05,0.57,21.13,0.9,1.95,,,62.75,0.5,153.75,,715.0,
2025-01-02 05:00:00,54.0,102.25,1.3,15.25,9.18,1.72,8.6,0.56,20.02,0.82,1.85,,,61.75,0.4,185.5,,715.5,
2025-01-02 06:00:00,46.5,108.5,0.98,16.48,9.6,1.67,9.1,0.66,21.01,0.9,1.95,,,60.75,0.32,170.0,,716.5,
2025-01-02 07:00:00,54.0,127.75,0.75,16.18,9.2,1.88,9.28,0.7,19.85,0.9,2.0,,,60.5,0.58,138.0,,717.25,
2025-01-02 08:00:00,61.0,131.0,1.12,15.08,8.92,1.92,8.68,0.62,21.24,0.85,1.85,,,61.0,1.23,97.5,,718.0,
2025-01-02 09:00:00,52.75,119.5,1.4,14.62,8.93,1.85,8.58,0.58,22.08,0.85,1.85,,,57.0,1.2,115.25,,718.0,
2025-01-02 10:00:00,44.25,136.0,1.23,14.28,8.57,1.95,8.25,0.58,21.36,0.8,1.78,,,53.5,1.68,101.75,,718.0,
2025-01-02 11:00:00,37.75,143.25,1.1,14.0,8.35,2.0,9.15,0.44,21.04,0.9,1.98,,,51.5,1.6,92.25,,717.5,
