Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,47.99,94.19,7.51,15.3,23.02,12.51,7.44,0.88,32.2,0.66,1.84,,0.64,92.72,,,5.59,952.92,
2025-01-01 01:00:00,48.99,96.16,7.68,17.61,25.36,12.68,7.47,0.86,31.72,0.64,1.89,,0.65,93.5,,,5.59,952.77,
2025-01-01 02:00:00,50.97,100.04,5.95,17.66,23.44,10.95,8.1,0.88,32.53,0.64,1.88,,0.65,93.57,,,5.59,952.62,
2025-01-01 03:00:00,48.21,94.64,7.53,16.96,24.7,12.53,9.14,0.89,32.48,0.62,1.88,,0.66,93.6,,,5.59,952.49,
2025-01-01 04:00:00,45.52,89.35,6.95,15.81,22.78,11.95,6.36,0.86,32.54,0.64,1.88,,0.64,93.57,,,5.59,952.48,
2025-01-01 05:00:00,44.18,86.73,5.8,17.32,22.93,10.8,6.92,0.86,32.37,0.68,1.89,,0.66,93.52,,,5.59,952.54,
2025-01-01 06:00:00,40.5,79.51,7.08,16.37,23.4,12.08,7.12,0.87,32.12,0.65,1.91,,0.65,93.6,,,5.59,952.69,
2025-01-01 07:00:00,38.89,76.35,7.86,16.91,24.76,12.86,7.18,0.87,31.94,0.64,1.87,,0.64,93.5,,,5.62,952.84,
2025-01-01 08:00:00,39.82,78.16,7.34,17.95,25.04,12.34,8.01,0.86,32.18,0.64,1.89,,0.64,73.1,,,236.96,953.0,
2025-01-01 09:00:00,43.35,85.1,8.4,16.42,24.7,13.4,7.45,0.87,32.33,0.66,1.87,,0.64,49.9,,,383.73,953.09,
2025-01-01 10:00:00,45.58,89.48,6.72,16.43,23.09,11.72,7.31,0.85,33.08,0.66,1.87,,0.65,40.15,,,496.84,953.08,
2025-01-01 11:00:00,46.3,90.89,8.22,18.71,26.95,13.22,10.29,0.88,32.01,0.66,1.83,,0.66,34.62,,,550.22,952.97,
2025-01-01 12:00:00,46.84,91.94,8.09,18.29,26.46,13.09,8.5,0.86,32.84,0.64,1.86,,0.64,30.4,,,546.66,952.7,
2025-01-01 13:00:00,45.91,90.12,7.32,17.32,24.5,12.32,6.74,0.87,32.46,0.63,1.88,,0.66,30.18,,,491.78,952.41,
2025-01-01 14:00:00,41.9,82.25,5.3,17.61,22.56,10.3,7.71,0.86,32.46,0.64,1.9,,0.65,27.17,,,395.59,952.17,
2025-01-01 15:00:00,46.65,91.58,5.42,17.08,22.58,10.42,7.26,0.88,32.48,0.66,1.87,,0.64,26.37,,,264.41,952.03,
2025-01-01 16:00:00,53.02,104.05,6.2,15.77,21.81,11.22,8.25,0.87,32.8,0.65,1.87,,0.65,29.45,,,118.9,952.0,
2025-01-01 17:00:00,58.51,114.83,7.22,18.25,25.54,12.22,8.34,0.85,32.29,0.64,1.88,,0.64,37.83,,,10.83,952.14,
2025-01-01 18:00:00,58.03,113.88,7.52,17.37,24.77,12.52,8.35,0.86,32.49,0.65,1.81,,0.64,46.35,,,5.59,952.33,
2025-01-01 19:00:00,59.18,116.12,6.62,16.59,23.24,11.62,8.03,0.88,32.25,0.66,1.88,,0.65,52.75,,,5.59,952.54,
2025-01-01 20:00:00,64.15,125.88,6.98,17.46,24.36,11.98,7.46,0.88,32.39,0.66,1.82,,0.64,59.52,,,5.59,952.72,
2025-01-01 21:00:00,69.9,137.16,7.6,14.5,22.21,12.6,7.31,0.86,32.24,0.64,1.89,,0.65,64.8,,,5.59,952.85,
2025-01-01 22:00:00,58.19,114.19,7.16,18.44,25.42,12.16,7.44,0.88,31.92,0.65,1.91,,0.65,71.93,,,5.59,952.9,
2025-01-01 23:00:00,57.18,112.23,7.68,16.8,24.68,12.68,8.47,0.87,32.37,0.65,1.86,,0.65,81.0,,,5.59,952.77,
2025-01-02 00:00:00,56.64,111.16,8.32,16.71,25.18,13.32,8.27,0.86,32.5,0.66,1.85,,0.65,93.12,,,5.59,952.6,
2025-01-02 01:00:00,51.4,100.88,7.87,17.14,25.18,12.87,8.86,0.86,32.14,0.65,1.84,,0.64,93.5,,,5.59,952.46,
2025-01-02 02:00:00,53.55,105.1,7.84,17.0,24.95,12.84,8.1,0.86,32.54,0.66,1.9,,0.64,93.52,,,5.59,952.32,
2025-01-02 03:00:00,52.3,102.65,7.09,17.46,24.57,12.09,8.24,0.88,32.72,0.67,1.88,,0.64,93.5,,,5.59,952.23,
2025-01-02 04:00:00,50.48,99.08,7.23,17.58,25.03,12.23,6.78,0.86,32.27,0.64,1.86,,0.65,93.5,,,5.59,952.25,
2025-01-02 05:00:00,44.9,88.14,7.67,16.51,24.32,12.67,6.93,0.87,32.41,0.64,1.86,,0.66,93.5,,,5.59,952.32,
2025-01-02 06:00:00,43.87,86.11,7.21,17.35,24.64,12.21,8.59,0.86,32.75,0.66,1.87,,0.64,93.5,,,5.59,952.49,
2025-01-02 07:00:00,42.88,84.17,7.83,16.67,24.69,12.83,7.66,0.87,31.51,0.66,1.93,,0.65,93.48,,,5.98,952.68,
2025-01-02 08:00:00,44.83,88.01,7.92,17.86,25.88,12.92,7.38,0.86,32.52,0.65,1.88,,0.64,69.0,,,240.38,952.83,
2025-01-02 09:00:00,49.89,97.92,6.73,19.62,26.08,11.73,6.83,0.86,32.34,0.64,1.86,,0.63,44.8,,,368.64,952.93,
2025-01-02 10:00:00,54.21,106.4,6.45,17.34,23.81,11.45,6.74,0.87,32.53,0.65,1.85,,0.65,41.52,,,359.92,952.96,
2025-01-02 11:00:00,18.42,36.22,6.35,17.96,24.22,11.35,8.59,0.82,33.24,0.68,1.78,,0.62,35.65,,,544.33,952.81,
2025-01-02 12:00:00,19.64,38.61,6.35,16.44,22.79,11.35,7.19,0.57,32.36,0.85,1.45,,0.42,29.95,,,561.5,952.6,
2025-01-02 13:00:00,35.31,69.34,7.2,16.58,23.68,12.2,7.35,0.57,33.22,0.84,1.44,,0.42,27.45,,,501.06,952.34,
2025-01-02 14:00:00,38.14,74.89,6.64,16.62,23.47,11.64,6.55,0.58,32.81,0.84,1.43,,0.42,27.02,,,392.97,952.14,
2025-01-02 15:00:00,39.03,76.62,7.0,17.31,24.47,12.0,7.1,0.59,33.8,0.85,1.43,,0.42,27.0,,,199.24,952.05,
2025-01-02 16:00:00,48.84,95.86,6.57,16.42,23.14,11.57,6.32,0.57,33.06,0.82,1.41,,0.42,30.28,,,53.81,952.08,
2025-01-02 17:00:00,52.33,102.72,6.67,15.98,22.52,11.67,6.75,0.58,32.34,0.85,1.44,,0.41,35.47,,,5.59,952.2,
2025-01-02 18:00:00,53.44,104.9,4.86,15.23,19.66,9.86,7.44,0.58,31.94,0.82,1.39,,0.4,39.7,,,5.59,952.4,
2025-01-02 19:00:00,53.33,104.66,6.3,16.45,23.0,11.3,6.8,0.57,32.03,0.84,1.44,,0.42,47.52,,,5.59,952.6,
2025-01-02 20:00:00,58.1,114.0,6.48,17.99,24.53,11.49,6.67,0.58,32.3,0.84,1.44,,0.42,56.18,,,5.59,952.77,
2025-01-02 21:00:00,57.86,113.56,7.57,17.71,25.27,12.57,6.69,0.57,32.13,0.84,1.42,,0.4,60.6,,,5.59,952.88,
