Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,,89.51,5.1,21.58,26.66,,13.26,0.94,,,,,,,,,,,
2025-01-01 01:00:00,,90.14,5.1,21.48,26.59,,12.73,0.96,,,,,,,,,,,
2025-01-01 02:00:00,,89.06,5.11,21.46,26.56,,11.61,0.96,,,,,,,,,,,
2025-01-01 03:00:00,,89.31,5.2,21.65,26.84,,12.02,0.99,,,,,,,,,,,
2025-01-01 04:00:00,,87.58,5.22,21.64,26.87,,12.49,1.04,,,,,,,,,,,
2025-01-01 05:00:00,,88.75,5.2,21.7,26.9,,12.59,1.04,,,,,,,,,,,
2025-01-01 06:00:00,,90.75,5.23,21.55,26.78,,12.58,1.03,,,,,,,,,,,
2025-01-01 07:00:00,,91.14,5.2,21.58,26.78,,12.67,1.0,,,,,,,,,,,
2025-01-01 08:00:00,,90.8,5.22,21.73,26.95,,12.78,0.99,,,,,,,,,,,
2025-01-01 09:00:00,,90.11,5.25,21.67,26.92,,11.8,1.02,,,,,,,,,,,
2025-01-01 10:00:00,,89.32,5.15,21.46,26.59,,12.42,1.03,,,,,,,,,,,
2025-01-01 11:00:00,,90.47,5.24,21.66,26.91,,13.21,0.92,,,,,,,,,,,
2025-01-01 12:00:00,,90.02,5.12,21.36,26.54,,11.82,0.98,,,,,,,,,,,
2025-01-01 13:00:00,,90.28,3.34,19.82,25.16,,10.49,0.85,,,,,,,,,,,
2025-01-01 14:00:00,,89.29,3.25,19.75,25.0,,8.98,1.07,,,,,,,,,,,
2025-01-01 15:00:00,,89.91,3.05,19.53,24.59,,10.1,1.08,,,,,,,,,,,
2025-01-01 16:00:00,,88.44,3.07,19.54,24.61,,10.84,1.12,,,,,,,,,,,
2025-01-01 17:00:00,,88.79,3.18,19.67,24.85,,11.14,1.15,,,,,,,,,,,
2025-01-01 18:00:00,,91.5,3.22,19.62,24.84,,11.42,1.2,,,,,,,,,,,
2025-01-01 19:00:00,,91.85,3.24,19.5,24.73,,11.83,1.17,,,,,,,,,,,
2025-01-01 20:00:00,,91.4,3.13,19.43,24.56,,11.24,1.13,,,,,,,,,,,
2025-01-01 21:00:00,,91.17,3.22,19.44,24.66,,10.76,1.13,,,,,,,,,,,
2025-01-01 22:00:00,,92.33,3.04,19.28,24.31,,11.35,1.06,,,,,,,,,,,
2025-01-01 23:00:00,,91.87,3.16,19.5,24.67,,11.23,1.03,,,,,,,,,,,
2025-01-02 00:00:00,,90.22,3.09,19.42,24.51,,11.51,1.05,,,,,,,,,,,
2025-01-02 01:00:00,,89.6,3.17,19.67,24.84,,12.27,1.02,,,,,,,,,,,
2025-01-02 02:00:00,,90.61,3.14,19.46,24.6,,10.96,1.02,,,,,,,,,,,
2025-01-02 03:00:00,,90.47,3.17,19.73,24.9,,10.84,0.98,,,,,,,,,,,
2025-01-02 04:00:00,,88.56,3.16,19.52,24.68,,10.7,1.0,,,,,,,,,,,
2025-01-02 05:00:00,,87.24,3.18,19.61,24.8,,11.2,1.0,,,,,,,,,,,
2025-01-02 06:00:00,,88.67,3.12,19.52,24.64,,11.1,0.97,,,,,,,,,,,
2025-01-02 07:00:00,,90.24,3.2,19.51,24.71,,10.98,0.97,,,,,,,,,,,
2025-01-02 08:00:00,,89.32,3.2,19.53,24.73,,11.24,0.92,,,,,,,,,,,
2025-01-02 09:00:00,,89.66,3.2,19.61,24.8,,10.99,0.94,,,,,,,,,,,
2025-01-02 10:00:00,,95.44,3.02,19.58,24.6,,11.21,0.99,,,,,,,,,,,
2025-01-02 11:00:00,,92.22,3.18,19.74,24.88,,11.48,0.91,,,,,,,,,,,
2025-01-02 12:00:00,,91.14,3.24,19.5,24.74,,9.77,1.09,,,,,,,,,,,
2025-01-02 13:00:00,,90.64,3.14,19.42,24.56,,10.37,1.09,,,,,,,,,,,
2025-01-02 14:00:00,,88.63,3.05,19.64,24.69,,10.96,1.06,,,,,,,,,,,
