Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,,35.85,7.68,26.88,34.57,,5.75,0.63,,,,,,64.28,,,2.68,,
2025-01-01 01:00:00,,39.08,7.74,26.09,33.82,,5.64,0.66,,,,,,64.12,0.06,,2.5,,
2025-01-01 02:00:00,,36.88,7.64,25.15,32.78,,5.64,0.68,,,,,,64.1,0.04,,0.97,,
2025-01-01 03:00:00,,35.75,8.02,24.59,32.61,,5.61,0.64,,,,,,63.82,0.06,,0.61,,
2025-01-01 04:00:00,,35.03,7.7,24.69,32.39,,5.58,0.65,,,,,,63.74,0.08,,1.62,,
2025-01-01 05:00:00,,34.39,8.17,25.04,33.21,,5.68,0.84,,,,,,63.58,0.02,,1.39,,
2025-01-01 06:00:00,,34.29,7.88,26.04,33.92,,5.56,0.61,,,,,,63.3,0.06,,3.14,,
2025-01-01 07:00:00,,34.29,7.99,28.0,35.99,,5.57,0.95,,,,,,63.15,,,22.49,,
2025-01-01 08:00:00,,34.3,8.28,27.64,35.92,,5.7,0.76,,,,,,63.67,0.01,,46.95,,
2025-01-01 09:00:00,,34.48,7.71,26.7,34.42,,5.62,0.74,,,,,,64.06,,,121.29,,
2025-01-01 10:00:00,,34.24,8.19,26.49,34.68,,5.55,0.69,,,,,,64.28,,,676.38,,
2025-01-01 11:00:00,,35.08,7.77,25.68,33.44,,5.64,0.64,,,,,,64.7,0.04,,832.61,,
2025-01-01 12:00:00,,36.29,8.68,25.92,34.6,,5.12,0.7,,,,,,64.76,0.04,,389.55,,
2025-01-01 13:00:00,,34.8,9.22,25.51,34.72,,5.21,0.54,,,,,,64.7,0.02,,73.97,,
2025-01-01 14:00:00,,35.05,8.93,24.84,33.77,,5.58,0.62,,,,,,64.87,,,74.64,,
2025-01-01 15:00:00,,38.06,6.3,23.94,29.96,,5.66,0.62,,,,,,64.74,0.02,,39.88,,
2025-01-01 16:00:00,,44.89,7.86,26.04,33.9,,5.74,0.61,,,,,,64.69,0.04,,20.3,,
2025-01-01 17:00:00,,46.74,7.9,27.54,35.44,,5.47,0.7,,,,,,64.6,0.08,,5.19,,
2025-01-01 18:00:00,,41.03,7.8,30.77,38.57,,5.92,0.76,,,,,,64.54,0.13,,0.46,,
2025-01-01 19:00:00,,40.31,8.57,33.1,41.67,,5.59,0.81,,,,,,64.45,0.02,,1.04,,
2025-01-01 20:00:00,,40.15,8.3,32.0,40.31,,5.66,0.79,,,,,,64.34,,,,,
2025-01-01 21:00:00,,36.67,7.77,29.38,37.14,,5.76,0.78,,,,,,64.19,0.02,,0.06,,
2025-01-01 22:00:00,,35.66,7.98,29.05,37.03,,5.59,0.65,,,,,,64.12,0.06,,,,
2025-01-01 23:00:00,,35.87,7.93,26.73,34.65,,5.68,0.68,,,,,,64.06,0.06,,2.86,,
2025-01-02 00:00:00,,35.72,8.05,26.27,34.32,,5.66,0.68,,,,,,63.98,0.02,,1.65,,
2025-01-02 01:00:00,,38.07,7.75,25.53,33.28,,5.67,0.66,,,,,,63.84,0.06,,1.19,,
2025-01-02 02:00:00,,36.29,7.74,23.98,31.72,,5.67,0.62,,,,,,63.74,0.08,,1.31,,
2025-01-02 03:00:00,,35.24,8.28,24.11,32.39,,5.53,0.73,,,,,,63.77,0.01,,0.95,,
2025-01-02 04:00:00,,34.41,7.95,24.43,32.38,,5.55,0.67,,,,,,63.78,0.1,,0.29,,
2025-01-02 05:00:00,,34.32,8.07,25.25,33.32,,5.69,0.78,,,,,,63.36,0.04,,0.18,,
2025-01-02 06:00:00,,34.25,7.91,26.41,34.33,,5.58,0.74,,,,,,63.22,0.04,,3.13,,
2025-01-02 07:00:00,,34.04,8.05,28.52,36.57,,5.63,0.81,,,,,,63.19,0.03,,17.22,,
2025-01-02 08:00:00,,34.12,8.06,28.68,36.74,,5.68,0.8,,,,,,63.81,,,49.32,,
2025-01-02 09:00:00,,33.73,8.18,29.12,37.3,,5.59,0.74,,,,,,64.07,,,130.84,,
2025-01-02 10:00:00,,47.57,7.72,27.59,35.32,,5.84,0.53,,,,,,64.51,,,464.84,,
2025-01-02 11:00:00,,71.18,8.59,27.36,35.95,,4.72,0.61,,,,,,64.8,,,793.95,,
2025-01-02 12:00:00,,36.94,7.13,25.6,32.72,,5.74,0.55,,,,,,64.74,0.02,,432.59,,
2025-01-02 13:00:00,,36.9,8.73,26.11,34.84,,7.22,0.6,,,,,,64.7,,,67.42,,
2025-01-02 14:00:00,,41.69,7.8,25.56,33.36,,5.58,0.64,,,,,,64.65,0.02,,73.82,,
2025-01-02 15:00:00,,45.7,7.77,26.12,33.88,,5.67,0.62,,,,,,64.68,0.02,,35.01,,
2025-01-02 16:00:00,,40.39,7.81,27.44,35.24,,5.68,0.64,,,,,,64.66,0.01,,21.23,,
2025-01-02 17:00:00,,37.49,8.5,31.02,39.52,,5.73,0.77,,,,,,64.56,0.05,,2.92,,
2025-01-02 18:00:00,,37.46,8.56,37.96,46.52,,5.72,0.96,,,,,,64.52,,,,,
2025-01-02 19:00:00,,38.4,8.44,38.19,46.64,,5.66,0.9,,,,,,64.35,,,0.8,,
2025-01-02 20:00:00,,41.64,7.77,33.94,41.71,,5.56,0.67,,,,,,64.32,0.02,,,,
