Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,1.01,75.95,4.09,18.88,22.86,16.42,4.46,0.73,22.4,0.7,1.22,0.66,0.28,69.96,2.47,248.03,,,
2025-01-01 01:00:00,0.96,93.22,4.07,18.0,23.38,16.56,4.52,0.87,22.33,0.7,1.12,0.71,0.28,73.68,2.39,256.08,,,
2025-01-01 02:00:00,0.92,108.74,4.07,17.86,22.73,16.24,4.4,0.66,22.32,0.7,1.11,0.65,0.25,73.8,2.62,230.96,,,
2025-01-01 03:00:00,0.84,110.73,4.01,18.12,22.69,16.43,4.57,0.57,22.1,0.67,1.14,0.65,0.26,72.76,2.53,207.68,,,
2025-01-01 04:00:00,0.84,101.35,3.96,18.17,22.66,16.03,4.38,0.71,21.92,0.65,1.14,0.64,0.23,73.24,2.32,208.42,,,
2025-01-01 05:00:00,0.87,100.8,4.05,18.6,23.43,16.56,4.78,0.79,22.25,0.69,1.18,0.71,0.28,75.6,2.71,228.33,,,
2025-01-01 06:00:00,0.8,96.26,3.98,17.99,23.24,16.46,4.49,0.86,21.98,0.66,1.12,0.7,0.27,76.06,2.32,225.57,,,
2025-01-01 07:00:00,0.72,85.96,4.03,17.98,23.0,16.24,4.49,0.86,22.17,0.68,1.12,0.67,0.25,70.5,2.68,249.06,,,
2025-01-01 08:00:00,0.94,70.8,3.89,18.29,23.49,16.54,4.69,0.74,21.66,0.62,1.16,0.72,0.28,54.75,2.32,237.36,,,
2025-01-01 09:00:00,1.28,37.11,4.05,18.08,22.99,16.13,4.64,1.0,22.26,0.69,1.13,0.67,0.24,44.85,2.58,228.31,,,
2025-01-01 10:00:00,1.19,23.16,4.02,18.3,22.74,16.38,4.56,0.89,22.13,0.67,1.15,0.65,0.26,40.44,2.37,238.95,,,
2025-01-01 11:00:00,1.85,29.42,3.99,17.98,23.0,15.9,4.54,0.84,22.02,0.66,1.12,0.68,0.21,35.36,2.42,237.34,,,
2025-01-01 12:00:00,2.57,38.63,4.08,18.11,22.63,16.17,4.53,0.85,22.35,0.7,1.14,0.64,0.25,32.48,1.95,247.15,,,
2025-01-01 13:00:00,1.88,53.64,5.78,21.83,28.56,23.88,4.67,0.62,22.02,1.62,0.88,0.85,0.61,30.4,2.24,211.44,,,
2025-01-01 14:00:00,1.11,66.1,6.07,21.62,29.21,25.44,4.58,0.57,22.31,1.83,0.76,0.88,0.75,27.81,2.25,241.61,,,
2025-01-01 15:00:00,0.42,65.72,6.06,22.03,28.86,24.96,4.66,0.71,22.29,1.83,0.8,0.85,0.7,29.54,2.25,236.4,,,
2025-01-01 16:00:00,0.1,64.28,5.9,22.15,29.17,25.66,4.3,0.6,21.72,1.76,0.82,0.88,0.77,31.14,2.31,241.46,,,
2025-01-01 17:00:00,,63.62,5.9,21.75,28.67,25.16,4.54,0.9,21.71,1.77,0.77,0.84,0.72,35.46,2.59,255.26,,,
2025-01-01 18:00:00,,67.85,5.95,22.09,28.92,25.75,4.61,0.71,21.88,1.79,0.82,0.86,0.78,43.81,2.51,267.49,,,
2025-01-01 19:00:00,,72.03,5.95,21.83,28.75,25.16,4.56,0.69,21.89,1.79,0.78,0.84,0.72,47.88,2.63,255.55,,,
2025-01-01 20:00:00,,73.99,6.06,22.1,29.41,25.32,4.63,0.65,22.27,1.83,0.81,0.9,0.74,53.16,2.61,246.13,,,
2025-01-01 21:00:00,,82.52,5.94,22.39,28.57,25.06,4.51,0.64,21.86,1.78,0.84,0.82,0.71,57.75,2.51,245.81,,,
2025-01-01 22:00:00,,92.4,6.22,21.84,28.91,25.43,4.3,0.63,22.88,1.9,0.78,0.86,0.75,60.71,2.53,246.82,,,
2025-01-01 23:00:00,,99.26,5.96,21.94,29.33,25.1,4.6,0.7,21.94,1.8,0.8,0.89,0.72,66.78,2.74,266.64,,,
