Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,32.99,42.92,7.08,25.16,32.36,25.19,11.89,0.67,30.8,,1.53,0.6,0.48,87.58,1.53,42.42,10.36,913.74,
2025-01-01 01:00:00,33.1,43.08,7.18,25.13,33.45,25.22,11.96,0.72,31.03,,1.52,0.63,0.48,90.45,1.44,45.31,9.9,920.51,
2025-01-01 02:00:00,33.2,43.22,7.2,25.29,33.0,25.62,11.85,0.73,31.08,,1.54,0.62,0.49,91.78,1.19,59.59,9.38,916.09,
2025-01-01 03:00:00,33.33,43.4,7.06,25.37,33.04,24.54,12.18,0.66,30.76,,1.54,0.62,0.46,94.02,1.1,91.83,9.18,916.76,
2025-01-01 04:00:00,33.34,43.41,7.12,25.21,32.76,25.38,11.36,0.7,30.91,,1.53,0.62,0.48,95.96,1.0,79.8,9.1,916.71,
2025-01-01 05:00:00,33.3,43.36,7.19,25.14,32.66,25.17,12.19,0.73,31.08,,1.53,0.61,0.48,96.5,0.83,87.96,9.04,918.86,
2025-01-01 06:00:00,33.26,43.31,7.23,25.65,32.98,25.26,12.0,0.76,31.18,,1.56,0.62,0.48,97.43,1.03,97.58,15.44,914.76,
2025-01-01 07:00:00,33.23,43.26,7.15,25.75,32.59,25.55,11.85,0.71,30.98,,1.57,0.61,0.49,92.38,1.27,53.69,108.55,915.81,
2025-01-01 08:00:00,33.22,43.24,7.2,25.59,33.15,25.83,12.1,0.74,31.09,,1.56,0.62,0.5,74.87,1.23,54.38,309.07,923.28,
2025-01-01 09:00:00,33.19,43.21,7.16,25.27,33.29,25.55,,0.67,30.77,,1.54,0.62,0.51,61.67,1.27,54.23,537.15,918.66,
