Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 01:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 02:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 03:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 04:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 05:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 06:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 07:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 08:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 09:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 10:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 11:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 12:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 13:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 14:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 15:00:00,,,,,,,,,,,,,,,,,,,
2025-01-01 16:00:00,36.11,81.67,6.7,12.23,18.48,11.1,4.48,0.91,25.18,,,,,22.3,0.42,90.6,,937.56,
2025-01-01 17:00:00,35.95,90.6,6.81,12.42,18.37,10.56,5.15,0.94,25.72,,,,,27.5,0.37,70.91,,937.92,
2025-01-01 18:00:00,35.01,91.2,6.74,12.24,18.46,10.63,4.9,1.0,25.41,,,,,34.7,0.21,65.96,,938.54,
2025-01-01 19:00:00,33.98,101.29,6.77,12.14,18.42,10.49,5.47,1.0,25.55,,,,,40.52,0.3,79.16,,939.06,
2025-01-01 20:00:00,32.7,107.06,6.76,12.47,18.43,10.74,4.52,1.03,25.51,,,,,49.16,0.29,74.23,,939.63,
2025-01-01 21:00:00,30.88,116.54,6.73,12.27,18.46,10.58,4.64,1.08,25.36,,,,,53.97,0.27,71.03,,940.03,
2025-01-01 22:00:00,29.87,122.37,6.79,12.42,18.46,10.68,4.76,1.08,25.61,,,,,59.23,0.28,85.79,,940.17,
2025-01-01 23:00:00,30.11,122.13,6.71,12.42,18.43,10.69,5.79,1.08,25.28,,,,,65.63,0.14,80.1,,939.78,
2025-01-02 00:00:00,31.15,130.48,6.78,12.36,18.46,10.58,6.28,1.05,25.51,,,,,68.83,0.22,61.94,,939.34,
2025-01-02 01:00:00,31.89,139.82,6.72,12.28,18.4,10.58,6.51,1.05,25.3,,,,,74.25,0.2,94.63,,938.99,
2025-01-02 02:00:00,32.07,140.52,6.78,12.24,18.42,10.59,6.82,1.01,25.57,,,,,73.52,0.2,89.0,,938.57,
2025-01-02 03:00:00,30.93,130.55,6.75,12.37,18.47,10.78,5.76,0.97,25.45,,,,,74.56,0.31,108.64,,938.38,
2025-01-02 04:00:00,29.6,123.62,6.82,12.36,18.46,10.74,5.67,0.97,25.74,,,,,75.16,0.14,134.37,,938.46,
2025-01-02 05:00:00,28.82,119.01,6.73,12.27,18.45,10.6,5.98,0.96,25.36,,,,,70.72,0.28,104.01,,938.7,
2025-01-02 06:00:00,28.72,112.42,6.74,12.26,18.45,10.56,6.26,0.98,25.44,,,,,67.15,0.23,79.54,,939.17,
2025-01-02 07:00:00,29.04,132.09,6.73,12.4,18.43,10.66,6.36,1.0,25.36,,,,,63.82,0.35,73.03,,939.65,
2025-01-02 08:00:00,28.0,131.08,6.79,12.45,18.46,10.56,6.04,1.08,25.64,,,,,49.73,0.34,98.04,,940.04,
2025-01-02 09:00:00,27.2,98.46,6.77,12.3,18.36,10.57,5.91,1.06,25.52,,,,,35.42,0.44,109.48,,940.23,
2025-01-02 10:00:00,28.16,104.42,6.76,12.36,18.43,10.57,6.67,0.94,25.5,,,,,30.25,0.46,107.89,,940.17,
2025-01-02 11:00:00,30.46,94.13,6.74,12.19,18.36,10.5,5.93,1.09,25.41,,,,,24.33,0.4,76.16,,939.74,
2025-01-02 12:00:00,33.37,92.17,6.7,12.2,18.44,10.6,5.9,1.06,25.24,,,,,17.28,0.45,71.74,,939.17,
2025-01-02 13:00:00,35.26,93.04,6.74,12.33,18.53,10.62,5.9,1.03,25.4,,,,,13.79,0.42,76.18,,938.42,
2025-01-02 14:00:00,38.72,103.14,6.75,12.47,18.44,10.53,5.76,1.05,25.45,,,,,12.86,0.44,87.75,,937.85,
2025-01-02 15:00:00,39.88,109.26,6.84,12.4,18.4,10.57,5.68,0.94,25.84,,,,,12.47,0.4,92.64,,937.6,
2025-01-02 16:00:00,38.1,111.56,6.76,12.24,18.42,10.49,6.06,1.16,25.47,,,,,15.24,0.34,102.35,,937.73,
2025-01-02 17:00:00,37.2,108.32,6.72,12.24,18.39,10.49,5.85,1.12,25.33,,,,,19.55,0.35,93.64,,938.04,
2025-01-02 18:00:00,36.93,112.24,6.77,12.4,18.4,10.62,5.28,1.2,25.55,,,,,25.22,0.41,96.94,,938.7,
2025-01-02 19:00:00,36.24,122.76,6.68,12.25,18.46,10.77,5.8,1.27,25.12,,,,,33.9,0.47,111.36,,939.27,
2025-01-02 20:00:00,34.63,125.68,6.82,12.29,18.44,10.57,5.76,1.27,25.75,,,,,40.52,0.59,119.36,,939.76,
2025-01-02 21:00:00,32.68,122.44,6.75,12.21,18.46,10.49,6.02,1.28,25.44,,,,,46.31,0.43,110.48,,940.13,
2025-01-02 22:00:00,31.4,129.45,6.74,12.27,18.42,10.48,5.81,1.28,25.39,,,,,51.02,0.36,119.03,,940.19,
2025-01-02 23:00:00,30.42,126.08,6.83,12.29,18.48,10.58,5.83,1.25,25.8,,,,,54.64,0.34,106.92,,939.91,
2025-01-03 00:00:00,30.0,133.08,6.81,12.23,18.42,10.54,6.1,1.17,25.69,,,,,57.58,0.31,103.32,,939.66,
2025-01-03 01:00:00,33.14,127.38,6.8,12.26,18.44,10.79,6.21,1.16,25.68,,,,,62.99,0.31,108.38,,939.37,
2025-01-03 02:00:00,34.84,130.82,6.78,12.14,18.4,10.59,5.6,1.14,25.58,,,,,68.18,0.31,113.58,,939.12,
2025-01-03 03:00:00,32.58,126.83,6.69,12.44,18.47,10.6,6.36,1.1,25.17,,,,,68.28,0.4,108.52,,938.94,
