Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,75.23,112.52,4.23,32.02,36.26,27.65,11.62,0.62,23.19,21.09,4.77,0.15,0.14,26.59,5.6,112.84,6.48,994.81,
2025-01-01 01:00:00,91.4,128.7,4.27,31.72,36.89,27.84,11.64,0.63,23.38,20.89,4.23,0.15,0.13,26.63,5.91,113.87,6.96,990.06,
2025-01-01 02:00:00,101.31,138.6,4.24,32.11,36.54,27.52,11.58,0.62,23.2,20.54,3.52,0.15,0.12,26.64,5.41,106.77,7.14,981.87,
2025-01-01 03:00:00,104.96,142.26,4.08,32.4,36.03,27.62,11.61,0.61,22.37,20.4,3.07,0.15,0.11,26.62,5.36,100.75,6.76,976.68,
2025-01-01 04:00:00,96.05,133.34,4.08,32.3,36.84,27.64,11.54,0.6,22.38,20.74,2.74,0.15,0.1,26.58,5.43,104.67,6.31,975.9,
2025-01-01 05:00:00,89.36,126.66,4.07,31.43,36.29,27.8,11.53,0.61,22.33,20.99,2.6,0.15,0.1,26.58,5.82,113.24,6.32,978.51,
2025-01-01 06:00:00,87.04,124.32,4.12,31.88,36.64,27.86,11.67,0.61,22.59,21.04,2.6,0.15,0.1,26.67,5.6,114.28,7.47,983.17,
2025-01-01 07:00:00,88.96,126.25,4.06,32.31,36.36,27.85,11.67,0.6,22.28,21.21,2.45,0.15,0.1,31.95,5.62,120.31,71.68,990.39,
2025-01-01 08:00:00,104.5,141.8,4.18,31.29,36.64,28.16,11.73,0.62,22.9,21.0,2.4,0.15,0.1,46.71,6.37,114.13,251.2,994.64,
2025-01-01 09:00:00,63.9,101.19,4.12,32.57,36.58,27.72,11.74,0.61,22.56,20.04,2.26,0.15,0.1,60.18,6.67,108.66,415.01,997.7,
2025-01-01 10:00:00,37.49,74.78,4.06,31.85,36.22,27.75,11.72,0.6,22.26,19.05,2.17,0.15,0.1,69.57,6.7,108.2,529.28,998.36,
2025-01-01 11:00:00,23.85,61.15,4.22,32.25,37.36,27.7,11.72,0.62,23.12,11.92,2.04,0.15,0.1,75.71,6.94,111.77,603.97,995.14,
2025-01-01 12:00:00,17.06,54.36,4.09,31.99,35.78,30.0,11.62,0.61,22.44,1.0,0.42,0.02,0.02,,,,,,
2025-01-01 13:00:00,14.67,51.97,4.11,31.84,36.19,28.08,12.7,0.61,22.49,8.85,1.85,0.15,0.1,,,,,,
2025-01-01 14:00:00,21.94,59.23,4.24,32.09,36.36,27.95,12.78,0.62,23.22,7.13,1.74,0.15,0.1,,,,,,
2025-01-01 15:00:00,40.39,77.67,4.04,32.02,36.51,27.84,11.87,0.6,22.17,3.55,0.88,0.08,0.05,,,,,,
2025-01-01 16:00:00,43.65,80.94,4.17,32.25,36.24,28.03,11.93,0.62,22.83,15.96,1.46,0.15,0.1,,,,,,
2025-01-01 17:00:00,44.79,82.06,4.17,32.31,36.97,27.55,11.95,0.62,22.83,20.16,1.44,0.15,0.11,,,,,,
2025-01-01 18:00:00,52.34,89.64,4.21,32.46,36.76,27.88,11.66,0.62,23.07,19.91,1.48,0.15,0.11,,,,,,
2025-01-01 19:00:00,60.0,97.3,4.23,31.8,36.48,28.53,11.64,0.63,23.17,19.92,1.65,0.15,0.12,,,,,,
2025-01-01 20:00:00,65.06,102.36,4.22,32.2,36.27,27.8,11.63,0.62,23.1,19.54,1.74,0.15,0.12,,,,,,
2025-01-01 21:00:00,67.16,104.46,4.13,32.19,36.33,27.4,11.58,0.61,22.64,19.8,2.04,0.15,0.12,,,,,,
2025-01-01 22:00:00,72.65,109.95,4.06,32.19,36.28,27.48,11.63,0.6,22.28,20.0,2.14,0.15,0.13,,,,,,
2025-01-01 23:00:00,80.74,118.04,3.96,31.87,36.56,27.96,11.58,0.59,21.73,20.12,2.17,0.15,0.12,,,,,,
2025-01-02 00:00:00,93.2,130.49,4.12,32.2,36.47,27.51,11.63,0.61,22.56,20.99,2.12,0.15,0.12,,,,,,
2025-01-02 01:00:00,114.16,151.46,4.14,32.36,36.74,27.06,11.65,0.61,22.7,21.03,1.95,0.15,0.12,,,,,,
2025-01-02 02:00:00,120.28,157.56,4.08,32.32,36.3,27.54,11.6,0.6,22.33,21.0,1.75,0.15,0.11,,,,,,
2025-01-02 03:00:00,97.72,135.01,4.16,32.39,37.31,27.8,11.64,0.62,22.81,21.17,1.66,0.15,0.11,,,,,,
2025-01-02 04:00:00,82.58,119.88,4.04,31.84,36.44,28.13,11.6,0.6,22.14,20.39,1.6,0.15,0.1,,,,,,
2025-01-02 05:00:00,75.24,112.54,4.26,32.35,36.2,27.6,11.6,0.63,23.34,21.03,1.85,0.15,0.1,,,,,,
2025-01-02 06:00:00,64.32,101.62,4.21,32.3,36.3,28.28,11.66,0.62,23.04,21.32,1.92,0.15,0.1,,,,,,
