valid_time,u100,v100,u10,v10,d2m,t2m,latitude,longitude
2025-01-01 00:00:00,-5.90094,-3.4870148,-2.6063385,-1.7306061,288.73367,291.52734,13.0,77.5
2025-01-01 01:00:00,-6.025421,-3.0976257,-2.650177,-1.4453125,288.57794,291.5965,13.0,77.5
2025-01-01 02:00:00,-6.1091766,-2.5300446,-3.1659393,-1.3750916,288.4008,291.97464,13.0,77.5
2025-01-01 03:00:00,-5.0698395,-2.1547394,-3.2276,-1.4246826,288.90738,292.3884,13.0,77.5
2025-01-01 04:00:00,-5.696701,-2.3083344,-4.1015015,-1.6908264,289.5328,293.18414,13.0,77.5
2025-01-01 05:00:00,-6.003296,-2.2666779,-4.431015,-1.717102,289.08173,296.00604,13.0,77.5
2025-01-01 06:00:00,-5.721878,-2.235962,-4.282791,-1.707016,288.39645,298.0025,13.0,77.5
2025-01-01 07:00:00,-5.5053253,-2.180832,-4.1552124,-1.6530151,288.11957,298.64648,13.0,77.5
2025-01-01 08:00:00,-5.4687195,-1.738266,-4.1436157,-1.2936859,287.34656,299.77643,13.0,77.5
2025-01-01 09:00:00,-5.4335785,-1.2713928,-4.1024017,-0.9393158,287.52515,299.98114,13.0,77.5
2025-01-01 10:00:00,-5.026596,-0.83729553,-3.767105,-0.6482544,289.10883,298.80145,13.0,77.5
2025-01-01 11:00:00,-5.084366,-1.2724762,-3.673584,-0.9058075,289.05365,298.6283,13.0,77.5
2025-01-01 12:00:00,-5.1539,-1.143692,-2.7740173,-0.62176514,289.1587,298.15158,13.0,77.5
2025-01-01 13:00:00,-5.6912994,-1.0759735,-2.4282684,-0.5303955,289.19534,297.65082,13.0,77.5
2025-01-01 14:00:00,-5.948395,-1.1295013,-2.5275269,-0.6252594,289.12726,296.80707,13.0,77.5
2025-01-01 15:00:00,-5.8665924,-0.8193512,-2.41745,-0.47911072,289.10553,293.97668,13.0,77.5
2025-01-01 16:00:00,-5.913025,-0.4037323,-2.4504852,-0.3171692,289.46112,293.66785,13.0,77.5
2025-01-01 17:00:00,-5.8704987,-0.42442322,-2.4204254,-0.38615417,289.9159,292.60992,13.0,77.5
2025-01-01 18:00:00,-5.717041,-0.56217957,-2.3330383,-0.4296112,290.1587,292.22266,13.0,77.5
2025-01-01 19:00:00,-5.4868774,-0.34934998,-2.261032,-0.29847717,290.37933,292.03143,13.0,77.5
2025-01-01 20:00:00,-5.3206635,-0.37879944,-2.287262,-0.32769775,290.20697,291.1372,13.0,77.5
2025-01-01 21:00:00,-5.114731,-0.8238983,-2.2895966,-0.53027344,290.2348,291.26526,13.0,77.5
2025-01-01 22:00:00,-5.207962,-0.7817993,-2.68721,-0.4571991,289.71613,290.6112,13.0,77.5
2025-01-01 23:00:00,-5.084778,-1.341217,-3.3187866,-0.8772125,289.55304,290.6718,13.0,77.5
2025-01-02 00:00:00,-4.8420258,-1.2825012,-2.9475098,-0.76950073,289.663,291.5131,13.0,77.5
2025-01-02 01:00:00,-4.7089844,-1.276886,-2.3320923,-0.62789917,288.851,291.5395,13.0,77.5
2025-01-02 02:00:00,-4.715103,-1.2969055,-2.5353699,-0.7184906,288.27267,291.2653,13.0,77.5
2025-01-02 03:00:00,-3.902649,-0.8695984,-2.6405334,-0.56521606,287.5818,291.36697,13.0,77.5
2025-01-02 04:00:00,-4.4913635,-0.92926025,-3.3126984,-0.6531677,287.65228,292.37662,13.0,77.5
2025-01-02 05:00:00,-5.1966095,-1.0513763,-3.9025726,-0.7411804,287.99777,295.2611,13.0,77.5
2025-01-02 06:00:00,-5.28714,-0.69836426,-4.0070496,-0.47494507,288.00204,297.55304,13.0,77.5
2025-01-02 07:00:00,-5.286606,-0.5992279,-4.02713,-0.41049194,288.1156,298.445,13.0,77.5
2025-01-02 08:00:00,-5.4163666,-0.78790283,-4.1194916,-0.56814575,287.68732,299.48267,13.0,77.5
2025-01-02 09:00:00,-5.4605865,-1.085434,-4.1247406,-0.79418945,287.81323,299.7508,13.0,77.5
2025-01-02 10:00:00,-5.5954285,-0.8332825,-4.1659546,-0.60079956,287.90323,298.46295,13.0,77.5
2025-01-02 11:00:00,-5.2651367,-0.5937042,-3.797882,-0.3998108,287.98608,298.00848,13.0,77.5
2025-01-02 12:00:00,-4.688919,-0.08119202,-2.3699799,-0.00642395,288.2168,297.4245,13.0,77.5
2025-01-02 13:00:00,-5.0840607,0.65226746,-2.0533295,0.2536621,288.54718,296.4342,13.0,77.5
